time_ut,jr_max,mlat_at_max,jr_min,mlat_at_min
2025-05-12T21:30:00Z,0.5398,77.86,-0.5929,82.13
2025-05-12T21:40:00Z,0.3274,78.25,-0.4513,82.90
2025-05-12T21:50:00Z,0.4690,78.44,-0.5575,83.48
2025-05-12T22:00:00Z,0.5044,77.86,-0.4513,84.45
2025-05-12T22:10:00Z,0.6106,77.86,-0.4159,88.14
2025-05-12T22:20:00Z,0.6283,78.63,-0.4867,88.72
2025-05-12T22:30:00Z,0.5044,76.89,-0.3805,88.72
2025-05-12T22:40:00Z,0.9823,77.86,-0.7522,81.35
2025-05-12T22:50:00Z,0.9823,77.28,-0.3805,85.04
2025-05-12T23:00:00Z,0.7699,77.08,-0.4159,85.81
2025-05-12T23:10:00Z,0.7699,76.89,-0.4867,80.96
2025-05-12T23:20:00Z,0.7345,77.28,-0.4513,80.96
2025-05-12T23:30:00Z,0.5398,76.89,-0.3805,84.84
2025-05-12T23:40:00Z,0.4690,78.25,-0.6283,83.10
2025-05-12T23:50:00Z,0.4690,78.44,-0.6637,84.07
